nome_estacao;cod_estacao;bacia;sub_bacia;operadora;responsavel;municipio_uf;municipio;uf;latitude;longitude;altitude;cod_rio;nome_rio;origem;status_estacao
PCH CAPIGUI RIO SANGA CAMINHO 1;86519550;8;86;00007 - CEEE - CEEE;00007 - CEEE - CEEE;MATO CASTELHANO-RS;MATO CASTELHANO;RS;-28.33140;-52.18030;0.00;86210257;ARROIO SEM NOME;Setor Elétrico;Ativo
PCH CAPIGUI RESERVATÓRIO 3;86519700;8;86;00007 - CEEE - CEEE;00007 - CEEE - CEEE;MATO CASTELHANO-RS;MATO CASTELHANO;RS;-28.34140;-52.18890;0.00;86210200;RIO CAPIGUI;Setor Elétrico;Ativo
PCH CAPIGUI RIO SANGA CAMINHO 2;86519730;8;86;00007 - CEEE - CEEE;00007 - CEEE - CEEE;MATO CASTELHANO-RS;MATO CASTELHANO;RS;-28.32280;-52.18310;0.00;86210259;ARROIO SEM NOME;Setor Elétrico;Ativo
PCH CAPIGUI BARRAMENTO DE REGULARIZAÇÃO;86520000;8;86;00007 - CEEE - CEEE;00007 - CEEE - CEEE;MARAU-RS;MARAU;RS;-28.35110;-52.21470;631.00;86210200;RIO CAPIGUI;Setor Elétrico;Ativo
PCH CAPIGUI MONTANTE;86520050;8;86;00007 - CEEE - CEEE;00007 - CEEE - CEEE;PASSO FUNDO-RS;PASSO FUNDO;RS;-28.36940;-52.25220;0.00;86210200;RIO CAPIGUI;Setor Elétrico;Ativo
PCH CAPIGUI BARRAMENTO DE CAPTAÇÃO;86520090;8;86;00007 - CEEE - CEEE;00007 - CEEE - CEEE;PASSO FUNDO-RS;PASSO FUNDO;RS;-28.38220;-52.25470;0.00;86210200;RIO CAPIGUI;Setor Elétrico;Ativo
PCH CAPIGUI JUSANTE;86520100;8;86;00007 - CEEE - CEEE;00007 - CEEE - CEEE;MARAU-RS;MARAU;RS;-28.38250;-52.25860;0.00;86210200;RIO CAPIGUI;Setor Elétrico;Ativo
MARAU;86529500;8;86;01463 - DCRS - Defesa Civil do Rio Grande do Sul;01463 - DCRS - Defesa Civil do Rio Grande do Sul;MARAU-RS;MARAU;RS;-28.45690;-52.18920;509.00;86211000;ARROIO MARAU;RHN;Ativo
UNIÃO DA SERRA;86542000;8;86;01463 - DCRS - Defesa Civil do Rio Grande do Sul;01463 - DCRS - Defesa Civil do Rio Grande do Sul;UNIÃO DA SERRA-RS;UNIÃO DA SERRA;RS;-28.71940;-52.08310;340.00;86210000;RIO GUAPORÉ;RHN;Ativo
LINHA COLOMBO;86560000;8;86;00082 - SGB-CPRM - Serviço Geológico do Brasil;00001 - ANA - Agência Nacional de Águas;GUAPORÉ-RS;GUAPORÉ;RS;-28.91220;-51.95310;192.00;86210000;RIO GUAPORÉ;RHN;Ativo
GUAPORÉ - ANTA GORDA;86560020;8;86;01463 - DCRS - Defesa Civil do Rio Grande do Sul;01463 - DCRS - Defesa Civil do Rio Grande do Sul;ANTA GORDA-RS;ANTA GORDA;RS;-28.91080;-51.95220;0.00;86210000;RIO GUAPORÉ;RHN;Ativo
PUTINGA;86640900;8;86;01463 - DCRS - Defesa Civil do Rio Grande do Sul;01463 - DCRS - Defesa Civil do Rio Grande do Sul;PUTINGA-RS;PUTINGA;RS;-28.73830;-51.42580;445.00;86220250;ARROIO PUTINGA;RHN;Ativo
ENCANTADO;86720000;8;86;00082 - SGB-CPRM - Serviço Geológico do Brasil;00001 - ANA - Agência Nacional de Águas;ENCANTADO-RS;ENCANTADO;RS;-29.23440;-51.85500;28.20;86001000;RIO TAQUARI;RHN;Ativo
ENCANTADO;86720000;8;86;00082 - SGB-CPRM - Serviço Geológico do Brasil;00001 - ANA - Agência Nacional de Águas;ENCANTADO-RS;ENCANTADO;RS;-29.23440;-51.85500;28.20;86001000;RIO TAQUARI;CotaOnline;Ativo
PCH RASTRO DE AUTO MONTANTE;86743700;8;86;00497 - CERTEL RASTRO - Certel Rastro de Auto Geração de Energia S.A;00497 - CERTEL RASTRO - Certel Rastro de Auto Geração de Energia S.A;SÃO JOSÉ DO HERVAL-RS;SÃO JOSÉ DO HERVAL;RS;-29.04190;-52.22220;0.00;86230000;RIO FORQUETA;Setor Elétrico;Ativo
